	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9	Topic 10	Topic 11	Topic 12	Topic 13	Topic 14	Topic 15	Topic 16	Topic 17	Topic 18	Topic 19	Topic 20	Topic 21	Topic 22	Topic 23	Topic 24	Topic 25	Topic 26	Topic 27	Topic 28	Topic 29	Topic 30	Topic 31	Topic 32	Topic 33	Topic 34	Topic 35	Topic 36	Topic 37	Topic 38	Topic 39	Topic 40	Topic 41	Topic 42	Topic 43	Topic 44	Topic 45	Topic 46	Topic 47	Topic 48	Topic 49	Topic 50
Word 1	great	colin	watch	love	sorry	bought	super	flay	like	soon	malcolm	assholes	want	font	also	amazing	today	gladwell	waste	warner	mine	monday	warner	rock	time	taking	new	lewis	thanks	spent	star	whose	sick	malcolm	side	north	guess	stupid	heck	much	class	got	flay	comedian	booz	flay	guy	lost	generation	lakers
Word 2	much	rocked	warner	suck	dood	factory	nike	test	thing	season	warren	still	go	good	blows	feature	good	read	love	new	sherri	motors	good	got	class	new	time	trend	time	googleio	many	charade	saw	hour	stanford	exam	alto	3.0	like	google	please	world	night	suck	voice	great	stanford	day	basketball	san
Word 3	night	cheney	soooo	got	amp	partners	grateful	evr	new	sandbox	side	silverstein	east	shoreline	good	chose	time	good	twippin	got	commencement	feature	night	yeah	top	may	site	wants	recommend	making	looks	dime	pretty	hey	makes	korea	yeahhhhhhhhh	iphone	ass	hempz	cease	car	see	even	day	also	find	soooo	creates	apartment
Word 4	warner	idiots	talk	could	gm	2010	division	kindle2	good	know	internets	goodby	slogan	useless	road	current	man	michael	lied	good	whoopi	instead	love	right	love	monday	iphone	new	point	crazy	slow	boarding	crazy	tomorrow	liked	time	avoided	internet	keynote	vastly	north	canon	much	phone	stanford	alto	told	vios	best	really
Word 5	bobby	evening	api	mcdonalds	alto	going	rocks	shoreline	nice	govt	amazing	catch	richest	worked	today	winer	buffet	night	man	hate	talking	recently	obama	conference	wish	good	today	remorse	please	philip	haha	tricking	president	gladwell	singapore	warner	summer	mtv.com	wtf	doom	sounds	museum	museum	hd	allen	love	fan	free	vitamin	time
Word 6	love	tennis	thank	flay	including	world	warren	wait	watch	wave	gladwell	world	incredibly	turns	house	blink	tomorrow	people	flywire	night	looked	another	see	twitter	wave	hate	goodby	expensive	twitter	customer	graphics	pelosi	last	indian	advice	guy	palo	small	worse	amazing	find	viral	take	hardly	get	forever	lebron	ate	environment	today
Word 7	phone	ever	google	insects	day	highly	beyond	loving	reading	sad	buffet	mosquito	firmly	american	sell	tipping	warren	like	ugly	get	telling	nikon	last	lack	video	day	slow	gladwell	really	find	luke	boortz	well	fail	talk	happy	went	video	deleting	winners	results	tickets	api	check	ass	jquery	malcolm	palin	device	ass
Word 8	best	heard	hate	food	nerd	found	done	dslreports	work	invite	people	evr	zero	place	rid	much	night	new	ovation	love	official	government	speech	sent	united	api	warner	b	viral	road	o3d	freakin	obama	article	look	may	watching	lakers	new	good	china	awesome	twitter	tethering	pay	universal	two	flay	athlete	watch
Word 9	give	powell	new	cable	wave	sens	gokey	dad	little	#io2009	sitting	worth	destroy	always	stimulus	throttles	see	sell	michael	google	yearly	nap	get	dave	every	warner	love	mine	tweets	support	perhaps	cast	movie	great	work	sucks	bitch	worst	met	food	take	fifa	got	quite	pages	cracka	today	latex	cuz	great
Word 10	weekend	guessjust	eye	bobby	install	adobe	yearsgreat	bitin	rock	less	#kindle2	psyop	home	slow	net	well	exam	said	investing	really	fan	lack	well	screams	fix	car	really	cox	much	two	causin	zealots	really	food	awesome	afternoon	really	mets	#tcot	alto	enough	looks	need	fucker	lost	yes	well	watch	work	hills
